unit_id,plant_site,capacity_mw,commission_year,combustion,cooling_technology,province,latitude,longitude,source,year_basis
G100000102142,大唐平罗电发电厂,660.0,2020,ultra-supercritical,Air,Ningxia,39.014518,106.936207,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000102143,大唐平罗电发电厂,660.0,2020,ultra-supercritical,Air,Ningxia,39.014518,106.936207,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108001,华电韶关坪石发电厂,300.0,2009,subcritical,recirculating,Guangdong,25.25886,113.06552,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108002,华电韶关坪石发电厂,300.0,2010,subcritical,recirculating,Guangdong,25.25886,113.06552,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108005,山西国际能源平朔煤矸石发电厂,300.0,2009,subcritical,recirculating,Shanxi,39.4727567,112.3225046,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108006,山西国际能源平朔煤矸石发电厂,300.0,2009,subcritical,recirculating,Shanxi,39.4727567,112.3225046,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000101752,中电国际平圩发电厂,630.0,1989,subcritical,once-through,Anhui,32.68417,116.901389,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000101753,中电国际平圩发电厂,630.0,1992,subcritical,once-through,Anhui,32.68417,116.901389,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000101754,中电国际平圩发电厂,640.0,2007,supercritical,recirculating,Anhui,32.68417,116.901389,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000101755,中电国际平圩发电厂,640.0,2007,supercritical,recirculating,Anhui,32.68417,116.901389,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000101756,中电国际平圩发电厂,1000.0,2015,ultra-supercritical,once-through,Anhui,32.68417,116.901389,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000101757,中电国际平圩发电厂,1000.0,2015,ultra-supercritical,once-through,Anhui,32.68417,116.901389,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114702,中电国际平圩发电厂,1000.0,2026,ultra-supercritical,recirculating,Anhui,32.68417,116.901389,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000114703,中电国际平圩发电厂,1000.0,2026,ultra-supercritical,recirculating,Anhui,32.68417,116.901389,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000112805,阳煤平原化工热电厂,40.0,2010,subcritical,recirculating,Shandong,37.185017,116.48055,GEM_with_Cooling_Technology_July2025.xlsx,2025
